"Invoice ID","Unit price","Quantity","Total"
"860-79-0874","99.3","10","1042.65"
"687-47-8271","98.98","10","1039.29"
"283-26-5248","98.52","10","1034.46"
"751-41-9720","97.5","10","1023.75"
"303-96-2227","97.38","10","1022.49"
"744-16-7898","97.37","10","1022.385"
"271-88-8734","97.21","10","1020.705"
"234-65-2137","95.58","10","1003.59"
"554-42-2417","95.44","10","1002.12"
"325-77-6186","90.65","10","951.825"
"280-17-4359","90.5","10","950.25"
"219-22-9386","99.96","9","944.622"
"702-83-5291","99.82","9","943.299"
"731-81-9469","89.8","10","942.9"
"817-69-8206","99.73","9","942.4485"
"393-65-2792","89.48","10","939.54"
"866-99-7614","89.2","10","936.6"
"277-35-5865","98.97","9","935.2665"
"384-59-6655","98.66","9","932.337"
"704-48-3927","88.67","10","931.035"
"827-77-7633","98.09","9","926.9505"
"766-85-7061","87.87","10","922.635"
"139-32-4183","97.48","9","921.186"
"743-04-1105","97.22","9","918.729"
"641-51-2661","87.1","10","914.55"
"746-04-1077","84.63","10","888.615"
"450-42-3339","84.61","10","888.405"
"805-86-0265","93.96","9","887.922"
"677-11-0152","93.26","9","881.307"
"852-62-7105","83.25","10","874.125"
"574-22-5561","82.63","10","867.615"
"628-90-8624","82.58","10","867.09"
"267-62-7380","82.34","10","864.57"
"861-77-0145","81.97","10","860.685"
"607-65-2441","81.95","10","860.475"
"678-79-0726","90.63","9","856.4535"
"549-84-7482","90.28","9","853.146"
"698-98-5964","81.21","10","852.705"
"138-17-5109","89.21","9","843.0345"
"638-60-7125","99.56","8","836.304"
"640-48-5028","88.39","9","835.2855"
"431-66-2305","88.25","9","833.9625"
"533-33-5337","79.39","10","833.595"
"699-88-1972","99.16","8","832.944"
"457-94-0464","87.87","9","830.3715"
"286-43-6208","87.8","9","829.71"
"228-96-1411","98.7","8","829.08"
"735-32-9839","98.7","8","829.08"
"232-11-3025","78.77","10","827.085"
"829-49-1914","78.31","10","822.255"
"227-07-4446","78.13","10","820.365"
"652-43-6591","97.29","8","817.236"
"373-09-4567","77.56","10","814.38"
"842-40-8179","77.2","10","810.6"
"880-46-5796","76.92","10","807.66"
"602-16-6955","76.6","10","804.3"
"593-14-4239","95.46","8","801.864"
"549-03-9315","94.87","8","796.908"
"418-02-5978","84.09","9","794.6505"
"305-14-0245","94.49","8","793.716"
"605-72-4132","94.47","8","793.548"
"376-02-8238","93.87","8","788.508"
"746-94-0204","83.24","9","786.618"
"571-94-0759","74.6","10","783.3"
"453-33-6436","93.12","8","782.208"
"243-55-8457","74.44","10","781.62"
"416-17-9926","74.22","10","779.31"
"315-22-5665","73.56","10","772.38"
"884-80-6021","73.47","10","771.435"
"197-77-7132","91.56","8","769.104"
"234-03-4040","73.05","10","767.025"
"742-04-5161","72.78","10","764.19"
"237-01-6122","80.79","9","763.4655"
"361-59-0574","90.53","8","760.452"
"729-06-2010","80.47","9","760.4415"
"817-48-8732","72.35","10","759.675"
"525-09-8450","72.13","10","757.365"
"448-61-3783","90.02","8","756.168"
"635-40-6220","89.6","8","752.64"
"725-96-3778","89.25","8","749.7"
"829-34-3910","71.38","10","749.49"
"803-17-8013","88.79","8","745.836"
"537-72-0426","70.99","10","745.395"
"155-45-3814","88.55","8","743.82"
"394-30-3170","88.43","8","742.812"
"189-98-2939","78.55","9","742.2975"
"149-71-6266","78.07","9","737.7615"
"135-84-8019","77.93","9","736.4385"
"148-41-7930","99.96","7","734.706"
"627-95-3243","77.68","9","734.076"
"183-21-3799","77.63","9","733.6035"
"174-64-0215","69.74","10","732.27"
"189-52-0236","99.55","7","731.6925"
"710-46-4433","77.4","9","731.43"
"435-13-4908","86.68","8","728.112"
"253-12-6086","98.4","7","723.24"
"399-46-5918","85.98","8","722.232"
"898-04-2717","76.4","9","721.98"
"338-65-2210","68.6","10","720.3"
"587-03-7455","97.79","7","718.7565"
"831-81-6575","75.59","9","714.3255"
"850-41-9669","75.06","9","709.317"
"189-40-5216","96.37","7","708.3195"
"443-59-0061","67.45","10","708.225"
"287-21-9091","74.67","9","705.6315"
"640-49-2076","83.78","8","703.752"
"616-87-0016","95.54","7","702.219"
"743-88-1662","95.49","7","701.8515"
"188-55-0967","66.47","10","697.935"
"430-60-3493","94.88","7","697.368"
"670-79-6321","94.59","7","695.2365"
"489-82-1237","93.88","7","690.018"
